 #Energy    XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
  5.9684  0.16107279E+07  0.16107279E+07  0.16107279E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  5.9982  0.16236244E+07  0.16236244E+07  0.16236244E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.0281  0.16426443E+07  0.16426443E+07  0.16426443E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.0579  0.16659384E+07  0.16659384E+07  0.16659384E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.0877  0.16914225E+07  0.16914225E+07  0.16914225E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1176  0.17170064E+07  0.17170064E+07  0.17170064E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1474  0.17406948E+07  0.17406948E+07  0.17406948E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.1773  0.17609746E+07  0.17609746E+07  0.17609746E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2071  0.17766101E+07  0.17766101E+07  0.17766101E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2369  0.17869326E+07  0.17869326E+07  0.17869326E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2668  0.17917221E+07  0.17917221E+07  0.17917221E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.2966  0.17911157E+07  0.17911157E+07  0.17911157E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.3265  0.17857284E+07  0.17857284E+07  0.17857284E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.3563  0.17763383E+07  0.17763383E+07  0.17763383E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.3862  0.17639930E+07  0.17639930E+07  0.17639930E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4160  0.17497006E+07  0.17497006E+07  0.17497006E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4458  0.17345026E+07  0.17345026E+07  0.17345026E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.4757  0.17193687E+07  0.17193687E+07  0.17193687E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5055  0.17050981E+07  0.17050981E+07  0.17050981E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5354  0.16925037E+07  0.16925037E+07  0.16925037E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5652  0.16822256E+07  0.16822256E+07  0.16822256E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.5950  0.16748101E+07  0.16748101E+07  0.16748101E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6249  0.16706945E+07  0.16706945E+07  0.16706945E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6547  0.16699541E+07  0.16699541E+07  0.16699541E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
  6.6846  0.16724857E+07  0.16724857E+07  0.16724857E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00
